,link,id,host,date
102,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/environnement-calme-verdoyant-282117
",282117,"Immobilier
","2020-02-23
"
103,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-1-2-piece-1er-etage-lausanne-28239
",28239,"Immobilier
","2020-02-23
"
104,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/apleona-real-estate-ag-670/bel-air-1-magnifique-logement-tour-9e-etage-284057
",284057,"Immobilier
","2020-02-23
"
105,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/livit-ag-real-estate-management-675/quartier-calme-verdoyant-284477
",284477,"Immobilier
","2020-02-23
"
106,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/superbe-appartement-entierement-renove-25-pieces-centre-ville-284872
",284872,"Immobilier
","2020-02-23
"
107,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/regie-rhone-geneve-44/magnifique-5-pieces-tres-bon-etat-deux-pas-chuv-28659
",28659,"Immobilier
","2020-02-23
"
108,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/privera-lausanne-972/beau-logement-2-pieces-6eme-etage-288515
",288515,"Immobilier
","2020-02-23
"
109,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/wincasa-siege-602/spacieux-logement-proche-lausanne-288918
",288918,"Immobilier
","2020-02-23
"
110,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/wincasa-siege-602/louer-suite-quartier-calme-verdoyant-289043
",289043,"Immobilier
","2020-02-23
"
111,"https://www.immobilier.ch/fr/louer/appartement/vaud/renens/livit-ag-real-estate-management-675/chambre-etudiants-289054
",289054,"Immobilier
","2020-02-23
"
112,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-1-1-2-piece-2eme-etage-lausanne-290530
",290530,"Immobilier
","2020-02-23
"
113,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-2-1-2-pieces-4eme-etage-lausanne-29371
",29371,"Immobilier
","2020-02-23
"
114,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/globe-plan-cie-1082/grand-appartement-45-pieces-meuble-quartier-sous-gare-lausanne-295155
",295155,"Immobilier
","2020-02-23
"
115,"https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/bernard-nicod-siege-400/appartement-3-pieces-3eme-etage-lausanne-295283
",295283,"Immobilier
","2020-02-23
"
