,old,link,Announcer,Availability,ListingSpace,LoyerNet,Charges,LoyerBrut,Street,Zip,City,Latitude,Longitude,NearestStop,TimeToNearestStop
775,False,https://www.immobilier.ch/fr/louer/appartement/vaud/lausanne/wincasa-siege-602/appartement-3-pieces-quartier-calme-lausanne-382309,www.wincasa.ch,2020-03-01,65,1400,240,1640,,-1,,46.5274264,6.6209954,Vigie,5.333168773049208
794,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/4883292?s=1&t=1&l=2023&ct=732&ci=600&pn=25,,2020-03-03,64,-1,-1,1760,Ch. des ̩pinettes,1007,Lausanne,46.51718,6.62436,Lausanne-Flon,6.046674089996567
867,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5668154?s=1&t=1&l=2023&ct=732&ci=146&pn=7,www.derham.ch,2020-03-03,76,1700,160,1860,Rue Couchirard 3,1004,Lausanne,46.52552,6.61279,Vigie,4.9624536978186615
877,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5705524?s=1&t=1&l=2023&ct=732&ci=228&pn=10,www.realestate.apleona.ch/fr,2020-03-03,89,2000,300,2300,Av. d'Echallens 6,1004,Lausanne,46.52524,6.62086,Vigie,3.362164900258497
881,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5718359?s=1&t=1&l=2023&ct=732&ci=185&pn=8,www.realestate.apleona.ch/fr,2020-03-03,64,1880,165,2045,Av. de Morges 7,1004,Lausanne,46.52396,6.621060000000001,Vigie,3.476464183286797
909,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5778291?s=1&t=1&l=2023&ct=732&ci=235&pn=10,www.realestate.apleona.ch/fr,2020-03-03,89,2022,300,2322,Av. d'Echallens 6,1004,Lausanne,46.52524,6.62086,Vigie,3.362164900258497
935,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5802604?s=1&t=1&l=2023&ct=732&ci=191&pn=8,www.derham.ch,2020-04-01,80,1830,265,2095,Avenue de S̩velin 13 C,1004,Lausanne,46.5242,6.6131199999999986,Vigie,4.44152300032012
938,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5805140?s=1&t=1&l=2023&ct=732&ci=140&pn=6,www.realestate.apleona.ch/fr,2020-03-16,62,1650,165,1815,Rue des Echelettes 6,1004,Lausanne,46.52461,6.624560000000002,Vigie,6.834488436971631
966,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5829627?s=1&t=1&l=2023&ct=732&ci=188&pn=8,www.derham.ch,2020-03-16,81,1810,270,2080,Avenue de S̩velin 13 C,1004,Lausanne,46.5242,6.6131199999999986,Vigie,4.44152300032012
967,False,https://www.immoscout24.ch/fr/d/appartement-louer-ecublens-vd/5830806?s=1&t=1&l=1116&ct=48&ci=44&pn=2,,2020-03-03,82,-1,-1,2050,Route du Bois 13,1024,Ecublens VD,46.5307,6.56491,Cerisaie,3.6292923266786
1042,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5864946?s=1&t=1&l=2023&ct=732&ci=652&pn=28,,2020-05-01,81,-1,-1,2196,,-1,,46.52829000000001,6.61901,Vigie,5.571477723649248
1046,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5865849?s=1&t=1&l=2023&ct=732&ci=209&pn=9,www.derham.ch,2020-03-03,77,1940,255,2195,Avenue de S̩velin 13 B,1004,Lausanne,46.52408,6.613689999999999,Vigie,3.906424126784673
1075,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5870127?s=1&t=1&l=2023&ct=732&ci=646&pn=27,,2020-03-03,111,-1,-1,2150,,-1,,46.52829000000001,6.61901,Vigie,5.571477723649248
1086,False,https://www.immoscout24.ch/fr/d/appartement-louer-lausanne/5872775?s=1&t=1&l=2023&ct=732&ci=230&pn=10,www.lacoterelocation.ch,2020-03-03,77,-1,-1,2300,,-1,,46.52829000000001,6.61901,Vigie,5.571477723649248
